country,countrycode,year,trade
Canada,CAN,2001,39.46452
Canada,CAN,2002,30.17332
Canada,CAN,2003,32.19438
Canada,CAN,2004,43.20986
Canada,CAN,2005,46.0868
Canada,CAN,2006,38.10507
Canada,CAN,2007,39.70889
Canada,CAN,2008,47.61641
Canada,CAN,2009,-4.988524
Germany,DEU,2001,86.21108
Germany,DEU,2002,127.2339
Germany,DEU,2003,148.8318
Germany,DEU,2004,195.1726
Germany,DEU,2005,197.1411
Germany,DEU,2006,205.0126
Germany,DEU,2007,267.3672
Germany,DEU,2008,263.4428
Germany,DEU,2009,194.9869
Germany,DEU,2010,205.3685
France,FRA,2001,-4.421869
France,FRA,2002,3.169823
France,FRA,2003,-5.571478
France,FRA,2004,-17.26237
France,FRA,2005,-39.85741
France,FRA,2006,-44.57628
France,FRA,2007,-70.03386
France,FRA,2008,-97.71548
France,FRA,2009,-77.28004
France,FRA,2010,-86.55309
United Kingdom,GBR,2001,-54.01583
United Kingdom,GBR,2002,-59.62403
United Kingdom,GBR,2003,-76.77631
United Kingdom,GBR,2004,-111.1566
United Kingdom,GBR,2005,-107.9694
United Kingdom,GBR,2006,-109.6839
United Kingdom,GBR,2007,-183.4106
United Kingdom,GBR,2008,-173.9794
United Kingdom,GBR,2009,-130.7028
United Kingdom,GBR,2010,-153.9399
Italy,ITA,2001,8.774352
Italy,ITA,2002,7.186747
Italy,ITA,2003,2.495797
Italy,ITA,2004,-1.770257
Italy,ITA,2005,-11.84256
Italy,ITA,2006,-25.28087
Italy,ITA,2007,-12.83297
Italy,ITA,2008,-18.35751
Italy,ITA,2009,-9.518091
Italy,ITA,2010,-41.47439
Japan,JPN,2001,54.72839
Japan,JPN,2002,77.49169
Japan,JPN,2003,87.28339
Japan,JPN,2004,109.9805
Japan,JPN,2005,76.33033
Japan,JPN,2006,67.18756
Japan,JPN,2007,92.53785
Japan,JPN,2008,21.18022
Japan,JPN,2009,28.08985
Japan,JPN,2010,75.42433
United States,USA,2001,-411.9
United States,USA,2002,-468.264
United States,USA,2003,-532.351
United States,USA,2004,-650.929
United States,USA,2005,-767.478
United States,USA,2006,-817.304
United States,USA,2007,-808.763
United States,USA,2008,-816.198
United States,USA,2009,-503.582
United States,USA,2010,-634.896
United States,USA,2011,-703.523
